member_casual,day_of_week,ride_id
casual,Friday,305305
casual,Monday,245882
casual,Saturday,429382
casual,Sunday,356871
casual,Thursday,256482
casual,Tuesday,225475
casual,Wednesday,260755
member,Friday,516204
member,Monday,525600
member,Saturday,469459
member,Sunday,408947
member,Thursday,560840
member,Tuesday,560824
member,Wednesday,599416
